url,language,speaker_id,domain,gender,location,duration,age
https://www.youtube.com/watch?v=si0mPBoULVY,Maithili,Null,Agriculture,Male,Sarlahi,8 Min 17 sec,45
https://www.youtube.com/watch?v=8ELCo4sfOTc,Maithili,Null,Health,Male,Sarlahi,4 Min 39 Sec,35
https://www.youtube.com/watch?v=wrX3ZOCXMGA,Maithili,Null,General,Male,Kathmandu,1 Min 2 Sec,35
https://www.youtube.com/watch?v=6Y8UisvrFxI,Maithili,Null,Agriculture,Male,Sarlahi,7 Min 52 Sec,35
https://www.youtube.com/watch?v=wQPKtcU1IUE,Maithili,Null,General,Male,Sarlahi,17 Min 49 Sec,35
https://www.youtube.com/watch?v=uThP5Kl2BQs,Maithili,Null,Agriculture,Male,Bihar,1 Min 56 Sec,45
https://www.youtube.com/watch?v=qpGM0lwKCbQ,Maithili,Null,Agriculture,Male,Bihar,1 Min 48 sec,Null
https://www.youtube.com/watch?v=N78PZ6mT_gE,Maithili,Null,Agriculture,Male,Bihar,3 Min 40 sec,Null
https://www.youtube.com/watch?v=3fvoKAy6WSk,Maithili,Null,Agriculture,Null,Null,56 Sec,Null
https://www.youtube.com/watch?v=f2Y9XIVeP58,Maithili,Null,Agriculture,Null,Null,1 Min 50 Sec,Null
https://www.youtube.com/watch?v=jF93EbaAfCI,Maithili,Null,Agriculture,Null,Null,1 Min 39 sec,Null
https://www.youtube.com/watch?v=6Je-3McMVNo,Maithili,Null,Agriculture,Null,Null,2 Min 39 Sec,Null
https://www.youtube.com/watch?v=P3MDQNUhe2g,Maithili,Null,Agriculture,Null,Null,2 Min 48 sec,Null
https://www.youtube.com/watch?v=EyiamQee_yk,Maithili,Null,Agriculture,Null,Null,2 Min 14 Sec,Null
https://www.youtube.com/watch?v=nLUf27W_5M8,Maithili,Null,Agriculture,Null,Null,4 Min 8 Sec,Null
https://www.youtube.com/watch?v=sdvQnxCnQyI,Maithili,Null,General,Female/Male,Janakpur,45 Min 56 Sec,40
https://youtu.be/xRGoCCKC_WQ?si=EGpJ8oRbIy3TAJAd,Maithili,Null,General,Female/Male,Janakpur,35 Min 35 Sec,35
https://youtu.be/7nRSGWoRGv8?si=AYRDKq-yVpb4pwR4,Maithili,Null,Health,Male,Janakpur,23 min 37 Sec,45
https://youtu.be/aILIXUgfn9I?si=BJ9YiH17dhlf1WKa,Maithili,Null,General,Female,Janakpur,19 Min 24 Sec,30
https://youtu.be/4pVvUz0GbpQ?si=xdSmHfxtmFc_C2Bd,Maithili,Null,General,Female/Male,Dhanusha,34 Min 48 sec,35
https://youtu.be/FR9kqCTGv2Q?si=eAaBOBs_aCeHh5-U,Maithili,Null,Education,Female/Male,Janakpur,39 Min 16 Sec,35
https://youtu.be/7WjZvhnK-RI?si=UbX3djWBIgBFgE80,Maithili,Null,General,Female/Male,Madhesh ,36 Min 36 Sec,35
https://youtu.be/k6XJdcpyNRU?si=Nx52o08UT43Sk5QW,Maithili,Null,General,female/Male,Dhanusha,29 Min 10 Sec,35
https://www.youtube.com/watch?v=BkQzoCA_CeY,Maithili,Null,General,Female/Male,Janakpur,49 Min 50 sec,35
https://youtu.be/SzBR8GS8RTY?si=EcmuJmOIuOWbw_Ta,Maithili,Null,Health,Female/Male,Janakpur,37Min 10 Sec,35
https://youtu.be/AmE6hiGdcaI?si=Ww_7tADR1J_o1Uj-,Maithili,Null,Health,Female/Male,Madhesh ,50 Min 4 sec,35
https://youtu.be/hSF4qEr2ros?si=qd7pVEu_eX4re6OI,Maithili,Null,General,Female/Male,Madhesh ,35 Min 25 Sec,35
https://youtu.be/FbCAtejkKu8?si=NDQ513xbq_kqElkc,Maithili,Null,General,Female/Male,Janakpur,42 Min 53 Sec,35
https://youtu.be/X6aAIQuavto?si=R--LTjaMxMenfGHq,Maithili,Null,General,Female/Male,Janakpur,27 Min 41 Sec,35
https://youtu.be/dikGrpP1vcc?si=PfF_DPelU5x6p1hZ,Maithili,Null,General,Female/Male,Janakpur,40 Min 1 sec,35
https://youtu.be/_PdJywx1muQ?si=BNLN51eOJDv8ee_K,Maithili,Null,General,Female/Male,Dhanusha,40 Min 45 Sec,35
https://youtu.be/z2NmjlkGVF4?si=0MYlg7hukXhMz7lv,Maithili,Null,General,Female/Male,Dhanusha,31 Min 28 sec,35
https://youtu.be/JQC-Q2ebD0E?si=Lcn5Bo0FFf7HaR6Y,Maithili,Null,General,Female/Male,Mahottari,45 Min 50 Sec,35
https://youtu.be/01kWFTve61s?si=GYT4aA6cDtQhm_tl,Maithili,Null,General,Female/Male,Janakpur,50 Min 50 Sec,35
https://youtu.be/8yN0UfxtvMk?si=9U5yEkhw2xyVchBl,Maithili,Null,Agriculture,Female/Male,Madhesh ,37 Min 24 Sec,35
https://youtu.be/KJvcXWhk1D4?si=TamujyAc00wUMePF,Maithili,Null,General,female/Male,Dhanusha,39 Min 39 sec,35
https://youtu.be/d-Sco2gl9Wg?si=rErt0Vpwkr4UA_yv,Maithili,Null,General,Female/Male,Dhanusha,33 Min 42 Sec,35
https://youtu.be/lQuj7CAjrro?si=K9uiChy-0a3d4BiT,Maithili,Null,General,Female/Male,Dhanusha,33 min 33 Sec,35
https://youtu.be/cDawz1rfOIE?si=mITd6Ya7dCEVAI6C,Maithili,Null,General,Female/Male,Madhesh ,47 Min 26 sec,35
https://youtu.be/xkrPtfzf96Y?si=GoNdKgIlfm1TRwhs,Maithili,Null,Health,Male,Janakpur,27 Min 19 Sec,45
https://youtu.be/56lqJctR_ZY?si=e4uEpSAQgkm0IeDn,Maithili,Null,Health,Male,Janakpur,17 Min 43 Sec,45
https://youtu.be/yQNw1KUTwEo?si=ze1wSUrDYYQguRAJ,Maithili,Null,Health,Male,Janakpur,21 Min 33 sec,45
