"main_audio_name","language","domain","location","speaker_id","duration","age","gender"
"nepali_agriculture_9762cYwJ774","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_L5dSvMK3pEw","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_qqR9fTMXJoM","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_pPL4KH8gVOY","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_8LlswHM2SFA","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_5HUwmWhEt6M","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_YiktrpdQ8hg","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_5IbbhWeu0is","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_dMnp6fpi-7M","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_N-vAqQNr0mE","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_hPoCjzHaOLE","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_APKfEKLWEMg","nepali","agriculture","kathmandu","","","",""
"nepali_finance_PsoFrmBFGdg","nepali","finance","kathmandu","","","",""
"nepali_finance_NS8H7J2JkjE","nepali","finance","kathmandu","","","",""
"nepali_finance_RBppiwGUJkE","nepali","finance","kathmandu","","","",""
"nepali_finance_TAE47m-oqPY","nepali","finance","kathmandu","","","",""
"nepali_finance_hFSiRb9nBgU","nepali","finance","kathmandu","","","",""
"nepali_finance_qfFNE1ISfiU","nepali","finance","kathmandu","","","",""
"nepali_finance_ZqRZEnuCprE","nepali","finance","kathmandu","","","",""
"nepali_finance_lcwOgEC8Y34","nepali","finance","kathmandu","","","",""
"nepali_finance_F7EJyeS_RK0","nepali","finance","kathmandu","","","",""
"nepali_finance_YFQ2bsVbBGE","nepali","finance","kathmandu","","","",""
"nepali_finance_863k_7ftT8k","nepali","finance","kathmandu","","","",""
"nepali_finance_7XfvYr042GE","nepali","finance","kathmandu","","","",""
"nepali_finance_-el8gJuqoMk","nepali","finance","kathmandu","","","",""
"nepali_finance_IM9-aiYVQpw","nepali","finance","kathmandu","","","",""
"nepali_finance_cMtZktlE3YU","nepali","finance","kathmandu","","","",""
"nepali_finance_57x69E73kr0","nepali","finance","kathmandu","","","",""
"nepali_finance_pCb1fE_gOpY","nepali","finance","kathmandu","","","",""
"nepali_finance_di6VIctgNy0","nepali","finance","kathmandu","","","",""
"nepali_finance_D5SfE51WtPE","nepali","finance","kathmandu","","","",""
"nepali_health_IC_csXNY20E","nepali","health","kathmandu","","","",""
"nepali_health_9oedT2Jm3fg","nepali","health","kathmandu","","","",""
"nepali_health_c2AJtlaVFd0","nepali","health","kathmandu","","","",""
"nepali_health_YATNU_M1zMY","nepali","health","kathmandu","","","",""
"nepali_health_0r2ggl5YoL8","nepali","health","kathmandu","","","",""
"nepali_health_yk6b7Vd4APk","nepali","health","kathmandu","","","",""
"nepali_health_EIcZpGC6fU0","nepali","health","kathmandu","","","",""
"nepali_health_l2JuaTJlI4A","nepali","health","kathmandu","","","",""
"nepali_agriculture_Qw9my7SCH6g","nepali","agriculture","terai","","","",""
"nepali_agriculture_ByYzs6VkNdw","nepali","agriculture","terai","","","",""
